,method,outcome,weight,year,name
0,Inside heel hook,L,ABS,2015,Aaron Johnson
1,RNC,L,94KG,2015,Aaron Johnson
2,Heel hook,L,ABS,2015,Aaron Johnson
3,Points,L,94KG,2016,Aaron Johnson
4,N/A,L,94KG,2016,Aaron Johnson
5,Cross choke,L,HWABS,2016,Aaron Johnson
6,Choke,L,ABS,2016,Aaron Johnson
7,Triangle,L,100KG,2016,Aaron Johnson
8,Triangle armbar,L,ABS,2016,Aaron Johnson
9,Choke from back,L,ABS,2016,Aaron Johnson
10,Points,L,ABS,2016,Aaron Johnson
11,Inside heel hook,L,84KG,2016,Aaron Johnson
12,Arm in guillotine,L,ABS,2016,Aaron Johnson
13,Pts: 19x0,L,O97KG,2016,Aaron Johnson
14,Points,L,110KG,2017,Aaron Johnson
15,Pts: 10x0,L,ABS,2017,Aaron Johnson
16,Points,L,U110KG,2017,Aaron Johnson
17,Points,L,U110KG,2017,Aaron Johnson
18,Pts: 4x2,L,94KG,2017,Aaron Johnson
19,Points,L,ABS,2017,Aaron Johnson
20,Botinha,L,ABS,2017,Aaron Johnson
21,Brabo choke,L,94KG,2017,Aaron Johnson
22,Calf slicer,L,O97KG,2017,Aaron Johnson
23,Points,L,ABS,2017,Aaron Johnson
24,Reverse triangle,L,ABS,2017,Aaron Johnson
25,Inside heel hook,L,ABS,2017,Aaron Johnson
26,Pts: 2x0,L,97KG,2017,Aaron Johnson
27,RNC,L,ABS,2017,Aaron Johnson
28,"Pts: 0x0, Adv",L,110KG,2018,Aaron Johnson
29,Points,L,110KG,2018,Aaron Johnson
30,DQ,L,O85KG,2018,Aaron Johnson
31,Pts: 7x2,L,94KG,2018,Aaron Johnson
32,Triangle armbar,L,93KG,2018,Aaron Johnson
33,Pts: 4x2,L,95KG,2018,Aaron Johnson
34,Referee Decision,L,ABS,2018,Aaron Johnson
35,DQ,L,97KG,2018,Aaron Johnson
36,DQ,L,ABS,2018,Aaron Johnson
37,Pts: 6x0,L,O97KG,2018,Aaron Johnson
38,Pts: 5x0,L,ABS,2018,Aaron Johnson
39,Pts: 34x0,L,ABS,2019,Aaron Johnson
40,Pts: 15x0,L,94KG,2019,Aaron Johnson
41,Pts: 6x1,L,93KG,2019,Aaron Johnson
42,Choke,L,100KG,2019,Aaron Johnson
43,RNC,L,92KG,2019,Aaron Johnson
44,Referee Decision,L,100KG,2019,Aaron Johnson
45,Pts: 11x0,L,O97KG,2019,Aaron Johnson
46,Pts: 3x0,L,99KG,2019,Aaron Johnson
47,Pts: 3x0,L,ABS,2019,Aaron Johnson
48,EBI/OT,L,ABS,2019,Aaron Johnson
49,EBI/OT,L,ABS,2019,Aaron Johnson
50,Triangle armbar,L,ABS,2019,Aaron Johnson
51,Referee Decision,L,97KG,2019,Aaron Johnson
52,Katagatame,L,N/A,2020,Aaron Johnson
53,Toe hold,W,94KG,2015,Aaron Johnson
54,Straight ankle lock,W,94KG,2015,Aaron Johnson
55,Points,W,ABS,2016,Aaron Johnson
56,Points,W,ABS,2016,Aaron Johnson
57,Straight ankle lock,W,94KG,2016,Aaron Johnson
58,Choke from back,W,100KG,2016,Aaron Johnson
59,"Pts: 0x0, Adv",W,ABS,2016,Aaron Johnson
60,Straight ankle lock,W,O97KG,2016,Aaron Johnson
61,Flying armbar,W,ABS,2016,Aaron Johnson
62,Toe hold,W,O97KG,2016,Aaron Johnson
63,Toe hold,W,110KG,2017,Aaron Johnson
64,Submission,W,U110KG,2017,Aaron Johnson
65,Points,W,O100KG,2017,Aaron Johnson
66,Points,W,O100KG,2017,Aaron Johnson
67,Points,W,ABS,2017,Aaron Johnson
68,Pts: 7x6,W,94KG,2017,Aaron Johnson
69,Referee Decision,W,94KG,2017,Aaron Johnson
70,Referee Decision,W,N/A,2017,Aaron Johnson
71,Armbar,W,97KG,2017,Aaron Johnson
72,Straight ankle lock,W,ABS,2017,Aaron Johnson
73,Straight ankle lock,W,O97KG,2017,Aaron Johnson
74,Referee Decision,W,O97KG,2017,Aaron Johnson
75,EBI/OT,W,ABS,2017,Aaron Johnson
76,Armbar,W,ABS,2017,Aaron Johnson
77,Pts: 4x0,W,97KG,2017,Aaron Johnson
78,Choke from back,W,110KG,2018,Aaron Johnson
79,Straight ankle lock,W,94KG,2018,Aaron Johnson
80,Kneebar,W,94KG,2018,Aaron Johnson
81,Pts: 4x2,W,110KG,2018,Aaron Johnson
82,Adv,W,O85KG,2018,Aaron Johnson
83,Calf slicer,W,ABS,2018,Aaron Johnson
84,Kneebar,W,ABS,2018,Aaron Johnson
85,Straight ankle lock,W,94KG,2018,Aaron Johnson
86,Points,W,100KG,2018,Aaron Johnson
87,Straight ankle lock,W,100KG,2018,Aaron Johnson
88,Pts: 2x0,W,97KG,2018,Aaron Johnson
89,Footlock,W,97KG,2018,Aaron Johnson
90,Referee Decision,W,ABS,2018,Aaron Johnson
91,Reverse triangle,W,O99KG,2018,Aaron Johnson
92,Triangle armbar,W,O99KG,2018,Aaron Johnson
93,Kneebar,W,O99KG,2018,Aaron Johnson
94,Kneebar,W,O99KG,2018,Aaron Johnson
95,Points,W,ABS,2018,Aaron Johnson
96,Triangle,W,O97KG,2018,Aaron Johnson
97,Straight ankle lock,W,ABS,2018,Aaron Johnson
98,Pts: 10x2,W,ABS,2018,Aaron Johnson
99,Pts: 1x0,W,94KG,2019,Aaron Johnson
100,Straight ankle lock,W,ABS,2019,Aaron Johnson
101,Straight ankle lock,W,ABS,2019,Aaron Johnson
102,Straight ankle lock,W,ABS,2019,Aaron Johnson
103,Choke from back,W,94KG,2019,Aaron Johnson
104,Inside heel hook,W,93KG,2019,Aaron Johnson
105,---,D,93KG,2019,Aaron Johnson
106,Inside heel hook,W,93KG,2019,Aaron Johnson
107,Mounted choke,W,100KG,2019,Aaron Johnson
108,Submission,W,O97KG,2019,Aaron Johnson
109,Armlock,W,ABS,2019,Aaron Johnson
110,Kimura,W,ABS,2019,Aaron Johnson
111,Straight ankle lock,W,ABS,2019,Aaron Johnson
112,Heel hook,W,ABS,2019,Aaron Johnson
113,Heel hook,W,ABS,2019,Aaron Johnson
114,Kneebar,W,ABS,2019,Aaron Johnson
115,EBI/OT,W,ABS,2019,Aaron Johnson
116,Straignt ankle lock,W,ABS,2019,Aaron Johnson
117,EBI/OT,W,ABS,2019,Aaron Johnson
118,Straight ankle lock,W,ABS,2020,Aaron Johnson
119,Referee Decision,L,ABS,2016,Abdurakhman Bilarov
120,Pts: 8x2,L,94KG,2017,Abdurakhman Bilarov
121,Referee Decision,L,95KG,2017,Abdurakhman Bilarov
122,DQ,L,94KG,2017,Abdurakhman Bilarov
123,Pts: 5x0,L,99KG,2017,Abdurakhman Bilarov
124,Arm in guillotine,L,95KG,2017,Abdurakhman Bilarov
125,Referee Decision,L,95KG,2018,Abdurakhman Bilarov
126,Points,L,95KG,2018,Abdurakhman Bilarov
127,Kneebar,L,94KG,2019,Abdurakhman Bilarov
128,Pts: 5x0,L,95KG,2019,Abdurakhman Bilarov
129,Pts: 4x2,W,ABS,2015,Abdurakhman Bilarov
130,Heel hook,W,ABS,2015,Abdurakhman Bilarov
131,Kimura,W,94KG,2016,Abdurakhman Bilarov
132,Points,W,94KG,2016,Abdurakhman Bilarov
133,Armbar,W,92KG,2017,Abdurakhman Bilarov
134,"Pts: 0x0, Adv",W,94KG,2017,Abdurakhman Bilarov
135,"Pts: 2x2, Adv",W,94KG,2017,Abdurakhman Bilarov
136,Referee Decision,W,95KG,2017,Abdurakhman Bilarov
137,Heel hook,W,95KG,2017,Abdurakhman Bilarov
138,Heel hook,W,95KG,2017,Abdurakhman Bilarov
139,RNC,W,95KG,2017,Abdurakhman Bilarov
140,Points,W,94KG,2017,Abdurakhman Bilarov
141,Pts: 5x0,W,99KG,2017,Abdurakhman Bilarov
142,Heel hook,W,95KG,2017,Abdurakhman Bilarov
143,Heel hook,W,95KG,2017,Abdurakhman Bilarov
144,Armbar,W,100KG,2018,Abdurakhman Bilarov
145,Katagatame,W,100KG,2018,Abdurakhman Bilarov
146,Darce choke,W,100KG,2018,Abdurakhman Bilarov
147,Mounted triangle,W,100KG,2019,Abdurakhman Bilarov
148,RNC,W,100KG,2019,Abdurakhman Bilarov
149,RNC,W,100KG,2019,Abdurakhman Bilarov
150,Pts: 7x2,W,94KG,2019,Abdurakhman Bilarov
151,Adv,L,O100KG,2013,Abraham Marte
152,Kneebar,L,ABS,2013,Abraham Marte
153,DQ,L,O100KG,2013,Abraham Marte
154,Estima lock,L,ABS,2014,Abraham Marte
155,Choke from back,L,O100KG,2014,Abraham Marte
156,Armbar,L,ABS,2014,Abraham Marte
157,wristlock,L,ABS,2014,Abraham Marte
158,Armbar,L,ABS,2014,Abraham Marte
159,Pts: 2x0,L,O100KG,2014,Abraham Marte
160,Pts: 3x0,L,O100KG,2014,Abraham Marte
161,Pts: 4x2,L,ABS,2014,Abraham Marte
162,"Pts: 2x2, Adv",L,ABS,2014,Abraham Marte
163,Points,L,O100KG,2014,Abraham Marte
164,Kneebar,L,O100KG,2014,Abraham Marte
165,Pts: 5x4,L,ABS,2014,Abraham Marte
166,Pts: 7x4,L,O100KG,2015,Abraham Marte
167,Kneebar,L,ABS,2015,Abraham Marte
168,Heel hook,L,ABS,2015,Abraham Marte
169,Pts: 3x0,L,O99KG,2015,Abraham Marte
170,Pts: 3x0,L,ABS,2016,Abraham Marte
171,Pts: 4x0,L,HWABS,2016,Abraham Marte
172,Pts: 5x2,L,HWABS,2016,Abraham Marte
173,Choke,L,O100KG,2016,Abraham Marte
174,Pts: 6x0,L,ABS,2016,Abraham Marte
175,N/A,L,O94KG,2016,Abraham Marte
176,Kimura,W,O88KG,2012,Abraham Marte
177,Ezekiel,W,O100KG,2013,Abraham Marte
178,Points,W,O100KG,2013,Abraham Marte
179,Triangle armbar,W,ABS,2013,Abraham Marte
180,Bow and arrow,W,ABS,2013,Abraham Marte
181,Pts: 8x0,W,O100KG,2013,Abraham Marte
182,Pts: 2x0,W,O100KG,2013,Abraham Marte
183,Choke,W,ABS,2014,Abraham Marte
184,Triangle,W,O100KG,2014,Abraham Marte
185,Triangle,W,O100KG,2014,Abraham Marte
186,Kimura,W,O100KG,2014,Abraham Marte
187,Armbar,W,O100KG,2014,Abraham Marte
188,Cross choke,W,ABS,2014,Abraham Marte
189,Choke,W,ABS,2014,Abraham Marte
190,Points,W,ABS,2014,Abraham Marte
191,Choke,W,ABS,2014,Abraham Marte
192,Bow and arrow,W,ABS,2014,Abraham Marte
193,Triangle,W,O100KG,2014,Abraham Marte
194,Armbar,W,O100KG,2014,Abraham Marte
195,Triangle,W,O100KG,2014,Abraham Marte
196,DQ,W,ABS,2014,Abraham Marte
197,Pts: 4x0,W,ABS,2014,Abraham Marte
198,Pts: 2x0,W,O100KG,2014,Abraham Marte
199,Triangle,W,O100KG,2014,Abraham Marte
200,Choke,W,ABS,2014,Abraham Marte
201,Pts: 10x0,W,ABS,2014,Abraham Marte
202,Brabo choke,W,O100KG,2014,Abraham Marte
203,Triangle,W,O100KG,2015,Abraham Marte
204,Triangle,W,ABS,2015,Abraham Marte
205,Armbar,W,ABS,2015,Abraham Marte
206,Armbar,W,O100KG,2015,Abraham Marte
207,Triangle w/ arm,W,O99KG,2015,Abraham Marte
208,Short choke,W,O100KG,2015,Abraham Marte
209,"Pts: 2x2, Adv",W,O100KG,2015,Abraham Marte
210,Choke from mount,W,ABS,2016,Abraham Marte
211,"Pts: 0x0, Adv",W,O94KG,2016,Abraham Marte
212,Referee Decision,W,O94KG,2016,Abraham Marte
213,Cross choke,W,HWABS,2016,Abraham Marte
214,"Pts: 4x4, Adv",W,O100KG,2016,Abraham Marte
215,Kimura,W,ABS,2016,Abraham Marte
216,Referee Decision,L,70KG,2018,Adam Benayoun
217,Points,L,70KG,2018,Adam Benayoun
218,"Pts: 2x2, Adv",L,70KG,2018,Adam Benayoun
219,Pts: 8x6,L,70KG,2018,Adam Benayoun
220,Arm in Ezekiel,L,ABS,2018,Adam Benayoun
221,Points,L,70KG,2018,Adam Benayoun
222,Kneebar,L,67KG,2018,Adam Benayoun
223,Pts: 9x4,L,70KG,2018,Adam Benayoun
224,Choke from back,L,70KG,2018,Adam Benayoun
225,Referee Decision,L,66KG,2018,Adam Benayoun
226,Referee Decision,L,67KG,2018,Adam Benayoun
227,Adv,L,70KG,2019,Adam Benayoun
228,Points,L,69KG,2019,Adam Benayoun
229,Referee Decision,L,ABS,2019,Adam Benayoun
230,Referee Decision,L,70KG,2020,Adam Benayoun
231,N/A,L,70KG,2020,Adam Benayoun
232,Triangle,W,69KG,2018,Adam Benayoun
233,"Pts: 0x0, Adv",W,69KG,2018,Adam Benayoun
234,Triangle,W,76KG,2018,Adam Benayoun
235,Omoplata,W,76KG,2018,Adam Benayoun
236,"Pts: 2x2, Adv",W,70KG,2018,Adam Benayoun
237,Pts: 12x8,W,ABS,2018,Adam Benayoun
238,Adv,W,70KG,2018,Adam Benayoun
239,Triangle,W,70KG,2018,Adam Benayoun
240,Adv,W,70KG,2018,Adam Benayoun
241,N/A,W,70KG,2018,Adam Benayoun
242,Katagatame,W,70KG,2018,Adam Benayoun
243,N/A,W,70KG,2018,Adam Benayoun
244,Anaconda choke,W,66KG,2018,Adam Benayoun
245,Referee Decision,W,66KG,2018,Adam Benayoun
246,N/A,W,70KG,2018,Adam Benayoun
247,Points,W,70KG,2018,Adam Benayoun
248,Pts: 8x4,W,67KG,2018,Adam Benayoun
249,N/A,W,70KG,2019,Adam Benayoun
250,N/A,W,69KG,2019,Adam Benayoun
251,Pts: 2x0,W,70KG,2019,Adam Benayoun
252,Bow and arrow,W,70KG,2019,Adam Benayoun
253,Submission,W,ABS,2019,Adam Benayoun
254,"Pts: 2x2, Adv",W,70KG,2020,Adam Benayoun
255,Armbar,W,70KG,2020,Adam Benayoun
256,Points,W,70KG,2020,Adam Benayoun
257,RNC,L,61KG,2017,Adam Ferrara
258,Pts: 4x2,L,70KG,2017,Adam Ferrara
259,Choke from back,L,70KG,2018,Adam Ferrara
260,Adv,L,64KG,2018,Adam Ferrara
261,"Pts: 2x2, Adv",L,70KG,2018,Adam Ferrara
262,Referee Decision,L,N/A,2018,Adam Ferrara
263,"Pts: 0x0, Adv",L,67KG,2018,Adam Ferrara
264,Referee Decision,L,77KG,2019,Adam Ferrara
265,Points,L,70KG,2019,Adam Ferrara
266,Kneebar,L,65KG,2020,Adam Ferrara
267,RNC,W,61KG,2017,Adam Ferrara
268,Toe hold,W,70KG,2017,Adam Ferrara
269,Kneebar,W,70KG,2018,Adam Ferrara
270,Toe hold,W,64KG,2018,Adam Ferrara
271,Referee Decision,W,65KG,2018,Adam Ferrara
272,Toe hold,W,70KG,2018,Adam Ferrara
273,Toe hold,W,67KG,2018,Adam Ferrara
274,Calf slicer,W,70KG,2019,Adam Ferrara
275,Pts: 10x4,W,77KG,2019,Adam Ferrara
276,Triangle armbar,W,70KG,2019,Adam Ferrara
277,RNC,W,70KG,2019,Adam Ferrara
278,Armbar,W,70KG,2019,Adam Ferrara
279,Referee Decision,L,ABS,2016,Adam Wardziński
280,"Pts: 0x0, Adv",L,94KG,2017,Adam Wardziński
281,Referee Decision,L,94KG,2017,Adam Wardziński
282,Choke from back,L,94KG,2017,Adam Wardziński
283,Referee Decision,L,92KG,2017,Adam Wardziński
284,Choke from back,L,94KG,2017,Adam Wardziński
285,Points,L,95KG,2017,Adam Wardziński
286,Pts: 6x4,L,94KG,2017,Adam Wardziński
287,Pts: 2x0,L,94KG,2017,Adam Wardziński
288,"Pts: 0x0, Adv",L,94KG,2017,Adam Wardziński
289,Choke from back,L,ABS,2017,Adam Wardziński
290,"Pts: 0x0, Adv",L,94KG,2017,Adam Wardziński
291,Pts: 2x0,L,94KG,2017,Adam Wardziński
292,Referee Decision,L,94KG,2018,Adam Wardziński
293,Armbar,L,94KG,2018,Adam Wardziński
294,"Pts: 0x0, Adv",L,94KG,2018,Adam Wardziński
295,"Pts: 2x2, Adv",L,ABS,2018,Adam Wardziński
296,"Pts: 0x0, Adv",L,94KG,2018,Adam Wardziński
297,Bow and arrow,L,95KG,2018,Adam Wardziński
298,Pts: 4x0,L,94KG,2018,Adam Wardziński
299,Pts: 6x0,L,94KG,2018,Adam Wardziński
300,Pts: 2x0,L,ABS,2018,Adam Wardziński
301,Referee Decision,L,94KG,2018,Adam Wardziński
302,"Pts: 0x0, Adv",L,110KG,2018,Adam Wardziński
303,Pts: 2x0,L,94KG,2018,Adam Wardziński
304,Pts: 3x0,L,94KG,2019,Adam Wardziński
305,Toe hold,L,94KG,2019,Adam Wardziński
306,"Pts: 2x2, Adv",L,94KG,2019,Adam Wardziński
307,Kneebar,L,94KG,2019,Adam Wardziński
308,Armbar,L,94KG,2019,Adam Wardziński
309,Pts: 2x0,L,110KG,2019,Adam Wardziński
310,Pts: 2x0,L,110KG,2019,Adam Wardziński
311,"Pts: 0x0, Adv",L,95KG,2019,Adam Wardziński
312,Arm in guillotine,L,88KG,2019,Adam Wardziński
313,Pts: 6x2,L,ABS,2019,Adam Wardziński
314,"Pts: 0x0, Adv",L,94KG,2019,Adam Wardziński
315,Reverse triangle,L,100KG,2019,Adam Wardziński
316,"Pts: 4x4, Adv",L,94KG,2020,Adam Wardziński
317,Inside heel hook,L,90KG,2020,Adam Wardziński
318,Submission,W,94KG,2016,Adam Wardziński
319,Points,W,94KG,2016,Adam Wardziński
320,Arm in Ezekiel,W,94KG,2016,Adam Wardziński
321,RNC,W,94KG,2016,Adam Wardziński
322,Points,W,94KG,2016,Adam Wardziński
323,RNC,W,ABS,2016,Adam Wardziński
324,Injury,W,ABS,2016,Adam Wardziński
325,Points,W,ABS,2016,Adam Wardziński
326,RNC,W,ABS,2016,Adam Wardziński
327,Ezekiel,W,94KG,2016,Adam Wardziński
328,Points,W,94KG,2016,Adam Wardziński
329,Points,W,ABS,2016,Adam Wardziński
330,Points,W,ABS,2016,Adam Wardziński
331,Pts: 8x2,W,94KG,2017,Adam Wardziński
332,Pts: 2x0,W,94KG,2017,Adam Wardziński
333,Choke from back,W,94KG,2017,Adam Wardziński
334,Pts: 31x2,W,94KG,2017,Adam Wardziński
335,Choke,W,ABS,2017,Adam Wardziński
336,Toe hold,W,ABS,2017,Adam Wardziński
337,Pts: 2x0,W,ABS,2017,Adam Wardziński
338,Pts: 32x0,W,ABS,2017,Adam Wardziński
339,Pts: 16x2,W,94KG,2017,Adam Wardziński
340,N/A,W,94KG,2017,Adam Wardziński
341,Pts: 4x0,W,ABS,2017,Adam Wardziński
342,Choke from back,W,ABS,2017,Adam Wardziński
343,Anaconda choke,W,92KG,2017,Adam Wardziński
344,Pts: 14x7,W,94KG,2017,Adam Wardziński
345,Points,W,95KG,2017,Adam Wardziński
346,Arm in Ezekiel,W,94KG,2017,Adam Wardziński
347,Submission,W,94KG,2017,Adam Wardziński
348,Pts: 5x0,W,94KG,2017,Adam Wardziński
349,Pts: 2x0,W,94KG,2017,Adam Wardziński
350,N/A,W,ABS,2017,Adam Wardziński
351,Injury,W,94KG,2017,Adam Wardziński
352,Submission,W,ABS,2017,Adam Wardziński
353,RNC,W,ABS,2017,Adam Wardziński
354,Choke from back,W,94KG,2017,Adam Wardziński
355,Points,W,94KG,2017,Adam Wardziński
356,Choke,W,ABS,2017,Adam Wardziński
357,Arm in Ezekiel,W,ABS,2017,Adam Wardziński
358,Arm in Ezekiel,W,ABS,2017,Adam Wardziński
359,Choke,W,91KG,2017,Adam Wardziński
360,Points,W,91KG,2017,Adam Wardziński
361,Darce choke,W,ABS,2017,Adam Wardziński
362,Von Fluke choke,W,ABS,2017,Adam Wardziński
363,Choke,W,94KG,2017,Adam Wardziński
364,Pts: 19x0,W,94KG,2017,Adam Wardziński
365,Pts: 2x0,W,ABS,2017,Adam Wardziński
366,Pts: 18x0,W,ABS,2017,Adam Wardziński
367,Choke from back,W,ABS,2017,Adam Wardziński
368,Choke from back,W,94KG,2017,Adam Wardziński
369,Arm in Ezekiel,W,94KG,2017,Adam Wardziński
370,Arm in Ezekiel,W,ABS,2017,Adam Wardziński
371,Arm in Ezekiel,W,ABS,2017,Adam Wardziński
372,Brabo choke,W,ABS,2017,Adam Wardziński
373,Submission,W,110KG,2017,Adam Wardziński
374,Submission,W,110KG,2017,Adam Wardziński
375,Pts: 13x6,W,110KG,2017,Adam Wardziński
376,Choke from back,W,94KG,2018,Adam Wardziński
377,Choke from back,W,94KG,2018,Adam Wardziński
378,Choke from back,W,94KG,2018,Adam Wardziński
379,Verbal tap,W,95KG,2018,Adam Wardziński
380,Pts: 5x0,W,110KG,2018,Adam Wardziński
381,DQ,W,110KG,2018,Adam Wardziński
382,Pts: 4x2,W,ABS,2018,Adam Wardziński
383,Choke,W,94KG,2018,Adam Wardziński
384,Choke,W,94KG,2018,Adam Wardziński
385,Choke,W,110KG,2018,Adam Wardziński
386,Pts: 3x0,W,ABS,2018,Adam Wardziński
387,Choke from back,W,94KG,2018,Adam Wardziński
388,"Pts: 0x0, Adv",W,94KG,2018,Adam Wardziński
389,Pts: 24x2,W,94KG,2018,Adam Wardziński
390,Choke from back,W,95KG,2018,Adam Wardziński
391,Referee Decision,W,95KG,2018,Adam Wardziński
392,Pts: 20x0,W,ABS,2018,Adam Wardziński
393,Arm in Ezekiel,W,ABS,2018,Adam Wardziński
394,DQ,W,ABS,2018,Adam Wardziński
395,Cross choke,W,94KG,2018,Adam Wardziński
396,Choke from back,W,ABS,2018,Adam Wardziński
397,Pts: 18x0,W,ABS,2018,Adam Wardziński
398,Referee Decision,W,94KG,2018,Adam Wardziński
399,Pts: 7x0,W,94KG,2018,Adam Wardziński
400,Choke from back,W,ABS,2018,Adam Wardziński
401,Shoulder pressure,W,ABS,2018,Adam Wardziński
402,Choke from back,W,94KG,2018,Adam Wardziński
403,Choke,W,95KG,2018,Adam Wardziński
404,Pts: 7x0,W,95KG,2018,Adam Wardziński
405,Pts: 6x0,W,ABS,2018,Adam Wardziński
406,Short choke,W,ABS,2018,Adam Wardziński
407,Pts: 6x0,W,95KG,2018,Adam Wardziński
408,Submission,W,95KG,2018,Adam Wardziński
409,Choke from back,W,94KG,2018,Adam Wardziński
410,Pts: 13x0,W,94KG,2018,Adam Wardziński
411,RNC,W,91KG,2018,Adam Wardziński
412,Pts: 11x2,W,94KG,2018,Adam Wardziński
413,Pts: 2x0,W,110KG,2018,Adam Wardziński
414,Pts: 2x0,W,110KG,2018,Adam Wardziński
415,Pts: 2x0,W,110KG,2018,Adam Wardziński
416,Choke,W,88KG,2018,Adam Wardziński
417,Pts: 5x0,W,88KG,2018,Adam Wardziński
418,Pts: 12x0,W,88KG,2018,Adam Wardziński
419,Triangle kimura,W,88KG,2018,Adam Wardziński
420,Short choke,W,88KG,2018,Adam Wardziński
421,Pts: 12x2,W,94KG,2018,Adam Wardziński
422,Submission,W,ABS,2018,Adam Wardziński
423,Pts: 7x0,W,ABS,2018,Adam Wardziński
424,Pts: 13x0,W,110KG,2018,Adam Wardziński
425,Pts: 21x2,W,110KG,2018,Adam Wardziński
426,Cross choke,W,94KG,2018,Adam Wardziński
427,Choke from back,W,ABS,2018,Adam Wardziński
428,Lapel choke,W,ABS,2018,Adam Wardziński
429,Points,W,ABS,2018,Adam Wardziński
430,Points,W,ABS,2018,Adam Wardziński
431,Pts: 4x2,W,94KG,2018,Adam Wardziński
432,Arm in Ezekiel,W,94KG,2018,Adam Wardziński
433,Pts: 9x0,W,94KG,2018,Adam Wardziński
434,Choke from back,W,94KG,2018,Adam Wardziński
435,Choke from back,W,94KG,2018,Adam Wardziński
436,N/A,W,94KG,2018,Adam Wardziński
437,Choke,W,ABS,2018,Adam Wardziński
438,N/A,W,ABS,2018,Adam Wardziński
439,N/A,W,ABS,2018,Adam Wardziński
440,Armbar,W,94KG,2018,Adam Wardziński
441,N/A,W,ABS,2018,Adam Wardziński
442,Katagatame,W,ABS,2018,Adam Wardziński
443,Choke from back,W,94KG,2019,Adam Wardziński
444,"Pts: 2x2, Adv",W,94KG,2019,Adam Wardziński
445,Choke from back,W,94KG,2019,Adam Wardziński
446,Pts: 15x0,W,94KG,2019,Adam Wardziński
447,Pts: 23x0,W,94KG,2019,Adam Wardziński
448,Submission,W,94KG,2019,Adam Wardziński
449,N/A,W,94KG,2019,Adam Wardziński
450,N/A,W,94KG,2019,Adam Wardziński
451,Pts: 9x2,W,94KG,2019,Adam Wardziński
452,Choke from back,W,94KG,2019,Adam Wardziński
453,Choke from back,W,94KG,2019,Adam Wardziński
454,Pts: 17x0,W,100KG,2019,Adam Wardziński
455,Pts: 9x0,W,ABS,2019,Adam Wardziński
456,Choke from back,W,ABS,2019,Adam Wardziński
457,Pts: 7x2,W,ABS,2019,Adam Wardziński
458,Pts: 9x2,W,94KG,2019,Adam Wardziński
459,Arm in Ezekiel,W,94KG,2019,Adam Wardziński
460,Pts: 9x0,W,94KG,2019,Adam Wardziński
461,Ezekiel choke,W,110KG,2019,Adam Wardziński
462,Pts: 9x6,W,110KG,2019,Adam Wardziński
463,Pts: 6x2,W,95KG,2019,Adam Wardziński
464,Pts: 2x0,W,95KG,2019,Adam Wardziński
465,Pts: 10x2,W,ABS,2019,Adam Wardziński
466,Pts: 2x0,W,ABS,2019,Adam Wardziński
467,Pts: 11x0,W,94KG,2019,Adam Wardziński
468,"Pts: 0x0, Adv",W,94KG,2019,Adam Wardziński
469,Referee Decision,W,88KG,2019,Adam Wardziński
470,Choke from back,W,94KG,2019,Adam Wardziński
471,Pts: 28x0,W,94KG,2019,Adam Wardziński
472,Choke from back,W,ABS,2019,Adam Wardziński
473,Triangle,W,ABS,2019,Adam Wardziński
474,Shoulder lock,W,ABS,2019,Adam Wardziński
475,Choke from back,W,ABS,2019,Adam Wardziński
476,Pts: 2x0,W,91KG,2019,Adam Wardziński
477,Pts: 13x9,W,91KG,2019,Adam Wardziński
478,Pts: 3x2,W,ABS,2019,Adam Wardziński
479,Pen,W,ABS,2019,Adam Wardziński
480,Submission,W,94KG,2019,Adam Wardziński
481,Pts: 9x0,W,94KG,2019,Adam Wardziński
482,Pts: 9x0,W,94KG,2019,Adam Wardziński
483,Cross choke,W,94KG,2019,Adam Wardziński
484,Manoplata,W,ABS,2019,Adam Wardziński
485,Armbar,W,ABS,2019,Adam Wardziński
486,Pts: 33x0,W,91KG,2019,Adam Wardziński
487,RNC,W,ABS,2019,Adam Wardziński
488,Triangle,W,ABS,2019,Adam Wardziński
489,Pts: 27x0,W,85KG,2019,Adam Wardziński
490,"Pts: 0x0, Adv",W,91KG,2019,Adam Wardziński
491,Pts: 10x1,W,94KG,2020,Adam Wardziński
492,Pts: 10x0,W,94KG,2020,Adam Wardziński
493,Choke from back,W,94KG,2020,Adam Wardziński
494,Choke from back,W,94KG,2020,Adam Wardziński
495,Pts: 25x0,W,94KG,2020,Adam Wardziński
496,Pts: 9x0,W,94KG,2020,Adam Wardziński
497,Points,L,O100KG,2016,Admilson Gobi Junior
498,Choke,L,ABS,2016,Admilson Gobi Junior
499,Pts: 12x0,L,O100KG,2016,Admilson Gobi Junior
500,Pts: 11x2,L,ABS,2017,Admilson Gobi Junior
501,Pts: 2x0,L,ABS,2017,Admilson Gobi Junior
502,Armbar,L,ABS,2017,Admilson Gobi Junior
503,Armbar,L,ABS,2017,Admilson Gobi Junior
504,Pts: 2x0,L,ABS,2018,Admilson Gobi Junior
505,Pts: 4x0,L,O100KG,2018,Admilson Gobi Junior
506,Pts: 17x0,L,O100KG,2018,Admilson Gobi Junior
507,Botinha,L,ABS,2018,Admilson Gobi Junior
508,Referee Decision,L,ABS,2018,Admilson Gobi Junior
509,N/A,L,O100KG,2018,Admilson Gobi Junior
510,Triangle,L,ABS,2018,Admilson Gobi Junior
